,latitude,longitude,shop,name,city,pincode,TOT_P,revenue,shop_category,SC_ST_RATE,Total_literacy_rate,ill_rate,childreen_population_rate,Cultivators_pulation_rate,agricultural_population_rate,household_industry_population_rate,Other_Worker_population_rate,marginial_workers_population_rate,marginial_workers_lessthan6months_population_rate,total_working_population_rate,Street_Address
0,19.140853,72.8324598,mall,Crystal Plaza,mumbai,400053,12442373,3736454.81,General Retail,0.075,0.8105,0.189502919,0.096747622,0.00114954,0.001824973,0.011704761,0.365092013,0.023641873,0.023641873,0.403413159," , "
1,18.9652997,72.8072717,clothes,VAMA,mumbai,400026,12442373,9429727.81,Fashion,0.075,0.8105,0.189502919,0.096747622,0.00114954,0.001824973,0.011704761,0.365092013,0.023641873,0.023641873,0.403413159," , "
2,19.0499651,72.8263763,bicycle,Nattu Cyclewalla,mumbai,400050,12442373,2538708.3,Specialty & Hobby,0.075,0.8105,0.189502919,0.096747622,0.00114954,0.001824973,0.011704761,0.365092013,0.023641873,0.023641873,0.403413159," , "
3,19.0551689,72.8269905,bakery,J Hearsch and Co,mumbai,400050,12442373,8889861.55,Food & Grocery,0.075,0.8105,0.189502919,0.096747622,0.00114954,0.001824973,0.011704761,0.365092013,0.023641873,0.023641873,0.403413159," ,Hill Road"
4,18.9542416,72.7973374,alcohol,Moksh Wines,mumbai,400006,12442373,3385690.78,Food & Grocery,0.075,0.8105,0.189502919,0.096747622,0.00114954,0.001824973,0.011704761,0.365092013,0.023641873,0.023641873,0.403413159," , "
5,18.9775387,72.8109505,supermarket,Heera Panna,mumbai,400026,12442373,4260205.79,Food & Grocery,0.075,0.8105,0.189502919,0.096747622,0.00114954,0.001824973,0.011704761,0.365092013,0.023641873,0.023641873,0.403413159," , "
6,18.9321174,72.8326369,supermarket,Akbarallys,mumbai,400032,12442373,4629554.57,Food & Grocery,0.075,0.8105,0.189502919,0.096747622,0.00114954,0.001824973,0.011704761,0.365092013,0.023641873,0.023641873,0.403413159," , "
7,18.9280426,72.8311609,clothes,Westside,mumbai,400032,12442373,7037019.17,Fashion,0.075,0.8105,0.189502919,0.096747622,0.00114954,0.001824973,0.011704761,0.365092013,0.023641873,0.023641873,0.403413159," , "
8,18.9599225,72.8307554,bakery,Imadadiya Bakery,mumbai,400003,12442373,7282917.05,Food & Grocery,0.075,0.8105,0.189502919,0.096747622,0.00114954,0.001824973,0.011704761,0.365092013,0.023641873,0.023641873,0.403413159," , "
9,18.9599275,72.8309377,bakery,Firoz Farsan,mumbai,400003,12442373,7776659.68,Food & Grocery,0.075,0.8105,0.189502919,0.096747622,0.00114954,0.001824973,0.011704761,0.365092013,0.023641873,0.023641873,0.403413159," , "
10,19.1548114,72.8564354,convenience,Food Bazar,mumbai,400062,12442373,3280565.19,Food & Grocery,0.075,0.8105,0.189502919,0.096747622,0.00114954,0.001824973,0.011704761,0.365092013,0.023641873,0.023641873,0.403413159," , "
11,18.9445101,72.8262529,bakery,Paris Bakery,mumbai,400020,12442373,7942876.78,Food & Grocery,0.075,0.8105,0.189502919,0.096747622,0.00114954,0.001824973,0.011704761,0.365092013,0.023641873,0.023641873,0.403413159," , "
12,18.9334183,72.8270064,convenience,Sarvodaya,mumbai,400023,12442373,4645159.25,Food & Grocery,0.075,0.8105,0.189502919,0.096747622,0.00114954,0.001824973,0.011704761,0.365092013,0.023641873,0.023641873,0.403413159," , "
13,18.9282125,72.8318961,travel_agency,,mumbai,400023,12442373,3338185.98,Services,0.075,0.8105,0.189502919,0.096747622,0.00114954,0.001824973,0.011704761,0.365092013,0.023641873,0.023641873,0.403413159," , "
14,19.1665304,72.8459389,variety_store,Ashoka Shopping Centre,mumbai,400062,12442373,3086231.7,General Retail,0.075,0.8105,0.189502919,0.096747622,0.00114954,0.001824973,0.011704761,0.365092013,0.023641873,0.023641873,0.403413159," , "
15,18.9349748,72.8333911,hairdresser,Fort Hairdresser,mumbai,400038,12442373,1936330.69,Health & Beauty,0.075,0.8105,0.189502919,0.096747622,0.00114954,0.001824973,0.011704761,0.365092013,0.023641873,0.023641873,0.403413159," , "
16,18.9295514,72.8275099,books,Oxford Bookstore,mumbai,400023,12442373,139178.62,Specialty & Hobby,0.075,0.8105,0.189502919,0.096747622,0.00114954,0.001824973,0.011704761,0.365092013,0.023641873,0.023641873,0.403413159," , "
